index,question,llm_answer,ground_truth
41,"in the Common Vulnerability Scoring System (CVSS) v3.1 severity ratings, what range does medium
vulnerability fall in?
A.  3.0-6.9
B.  40-6.0
C.  4.0-6.9
D.  3.9-6.9
","Tags: CVSS, scoring, vulnerability, score, severity, CVSS, v3.1, severity, ratings, medium, range, vulnerability, range, scoring, score, vulnerability, CVSS, scoring, severity, ratings, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security, security",C
42,"In the field of cryptanalysis, what is meant by a ?rubber-hose"" attack?
A.  Attempting to decrypt cipher text by making logical assumptions about the contents of the original plaintext.
B.  Extraction of cryptographic secrets through coercion or torture.
C.  Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.
D.  A backdoor placed into a cryptographic algorithm by its creator.
","defining the algorithm in a way that is not obvious to the intended recipient. For example, the
rubber hose attack can be used to extract the key stream from a block cipher, or to extract
the key from a stream cipher. The key stream is the sequence of random bits that the
ciphertext is generated by the algorithm, and the rubber hose attack can be used to force the
targeted key stream through a hardware-accelerated device such as an ASIC. The backdoor
attack is used to place a backdoor into a cryptographic algorithm by its creator, which can be
used to extract the key stream from the algorithm. The key stream is the sequence of random bits
that the ciphertext is generated by the algorithm, and the backdoor can be used to force the
targeted key stream through a hardware-accelerated device such as an ASIC. The key stream is
the sequence of random bits that the ciphertext is generated by the algorithm, and",B
43,"The network team has well-established procedures to follow for creating new rules on the firewall. This
includes having approval from a manager prior to implementing any new rules. While reviewing the firewall
configuration, you notice a recently implemented rule but cannot locate manager approval for it. What would
be a good step to have in the procedures for a situation like this?
A.  Have the network team document the reason why the rule was implemented without prior manager approval.
B.  Monitor all traffic using the firewall rule until a manager can approve it.
C.  Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.
D.  Immediately roll back the firewall rule until a manager can approve it
","The best way to handle this is to have the network team document the reason why the rule was implemented without
prior manager approval. Then, you can go back to the manager and ask for approval. It’s better to have the rule
in place for a longer period of time than to have it implemented without approval. In this case, it’s better to have
the rule in place for a longer period of time so the business can have a chance to make a decision on whether
they want to implement the rule or not. If they do, they can then implement it without manager approval.
B is incorrect because this is not a good way to have the rule implemented. The network team should have
approval from the manager for all rules. It’s not something the network team can roll back. If you can’t get
manager approval, you’re better off not implementing the rule. C is incorrect because this is not a good way to
have the rule implemented. The network team",D
44,"Susan, a software developer, wants her web API to update other applications with the latest information. For
this purpose, she uses a user-defined HTTP tailback or push APIs that are raised based on trigger events: when
invoked, this feature supplies data to other applications so that users can instantly receive real-time
Information.
Which of the following techniques is employed by Susan?
A.  web shells
B.  Webhooks
C.  REST API
D.  SOAP API
","The webhooks feature is a way to trigger an action on the server side. It’s a push API that allows the client to
send information to the server when something happens. It’s a very common use case for webhooks, but not the only one. It
can also be used for push-based notifications and scheduled tasks. For example, you can use a webhook to
send an email notification to a recipient when a particular event occurs. Webhooks are a great way to notify
people when something happens, and they are a great way to automate tasks. They are not a way to pull information
from the server to the client. They are a way to send information from the client to the server.
A web shell is a way to gain access to the server side of an application, and it’s a great way to attack
applications. Web shells can be used for many different things, but they are not a way to pull information
from the server to the client.",B
45,"What is the first step for a hacker conducting a DNS cache poisoning (DNS spoofing) attack against an
organization?
A.  The attacker queries a nameserver using the DNS resolver.
B.  The attacker makes a request to the DNS resolver.
C.  The attacker forges a reply from the DNS resolver.
D.  The attacker uses TCP to poison the ONS resofver.
","Question:
 C. The attacker forges a reply from the DNS resolver. This is the first step in a DNS cache poisoning attack.
The attacker is making a request to the resolver. The resolver will send a query to a nameserver and the
nameserver will send back a response. The response will be forged by the attacker, and the response will
be sent back to the resolver. The resolver will then forward the response to the client, and the client will
then send the response back to the attacker. The attacker will have successfully poisoned the cache. The
DNS cache poisoning attack is a common attack that exploits a vulnerability in the DNS resolver to
cause a false response to be sent back to the client. The attacker can use this response to perform
a variety of attacks, including a denial of service attack, a man-in-the-middle attack, and a redirect
attack. The attacker can also use this to cause a false address to be returned to the client, and the",B
46,"Ricardo has discovered the username for an application in his targets environment. As he has a limited amount
of time, he decides to attempt to use a list of common passwords he found on the Internet. He compiles them
into a list and then feeds that list as an argument into his password-cracking application, what type of attack is
Ricardo performing?
A.  Known plaintext
B.  Password spraying
C.  Brute force
D.  Dictionary
","Question: C. The dictionary attack is used when a list of words is fed into a password-cracking tool. The tool
will then attempt to guess the password by using the list of words as input. The application will then check
the passwords for a match, and if there is a match, the program will continue. The tool will continue until
it finds a match or until the list of words is exhausted. If it exhausts the list, it will then return an error. The
application will then move to the next word in the list. If it finds a match, the program will continue to the next
word until it exhausts the list. If it exhausts the list and the password does not match, it will return an error. The
application will then move to the next word in the list.
A is incorrect because a known plaintext attack is performed when a list of words is fed into a password-cracking
tool, and the tool will attempt to",D
47,"Sam is working as a system administrator In an organization. He captured the principal characteristics of a
vulnerability and produced a numerical score to reflect Its severity using CVSS v3.0 to property assess and
prioritize the organization's vulnerability management processes. The base score that Sam obtained after
performing cvss rating was 4.0. What is the CVSS severity level of the vulnerability discovered by Sam in the
above scenario?
A.  Medium
B.  Low
C.  Critical
D.  High
","This is a question about cybersecurity. Please write an answer.

 A, B, C, D. The CVSS severity level of a vulnerability is determined by its score. The score is a numeric value that
is used to determine the level of severity of the vulnerability. The CVSS severity level of a vulnerability can range
from 0 to 10. A score of 0 is the lowest severity level, and a score of 10 is the highest severity level. The
CVSS severity level of a vulnerability is determined by the score and the CVSS vector. A score of 4.0 means the
vulnerability is a medium severity vulnerability. A score of 8.0 means the vulnerability is a critical severity
vulnerability. A score of 10.0 means the vulnerability is a high severity vulnerability. A score of 0 means the
vulnerability is a low severity vulnerability. The CVSS severity level is determined by the score and the vector",A
48,"How is the public key distributed in an orderly, controlled fashion so that the users can be sure of the sender?s
identity?
A.  Hash value
B.  Private key
C.  Digital signature
D.  Digital certificate
","The public key is distributed in a controlled fashion so that the users can be sure of the sender’s identity. The digital
signature is the digital equivalent of a handwritten signature, and the digital certificate is the digital equivalent of a
physical certificate. The hash value is the hash of the public key. The private key is the secret key that is used to
encrypt and decrypt messages.",D
49,"At what stage of the cyber kill chain theory model does data exfiltration occur?
A.  Actions on objectives
B.  Weaponization
C.  installation
D.  Command and control
","#A. In the initial phase of the kill chain, the adversary is collecting information about the target and
the target’s environment. The data collection stage is accomplished by the use of social engineering, which
includes spear phishing, spear phishing, phishing, and vishing. Once the target is identified, the adversary
will begin to develop a plan to attack the target. At this stage, the adversary will begin to use
malware to infect the target’s system. During this stage, the adversary will also begin to build a command and
control infrastructure, which will be used to communicate with the target. At this stage, the adversary will also
begin to build a backdoor on the target’s system, which will allow the adversary to remotely control the
target’s system. At this stage, the adversary will begin to build a botnet, which will be used to launch
DDoS attacks. At this stage, the adversary will begin to develop a payload that will be used",A
50,"Steven connected his iPhone to a public computer that had been infected by Clark, an attacker. After
establishing the connection with the public computer, Steven enabled iTunes WI-FI sync on the computer so
that the device could continue communication with that computer even after being physically disconnected.
Now, Clark gains access to Steven?s iPhone through the infected computer and is able to monitor and read all
of Steven?s activity on the iPhone, even after the device is out of the communication zone.
Which of the following attacks is performed by Clark in above scenario?
A.  IOS trustjacking
B.  lOS Jailbreaking
C.  Exploiting SS7 vulnerability
D.  Man-in-the-disk attack
","Question:
 A, B, D. This attack is a man-in-the-disk attack. A man-in-the-disk attack is a way to get access to a system
by connecting to it through the operating system’s file system. The attacker can use this to gain access to
the system without any user interaction. This is accomplished by using the operating system’s file system to
send a series of requests to the system that can be interpreted by the operating system as legitimate requests.
The operating system then opens the file and allows the attacker to access the system without user interaction.
The attack is a man-in-the-disk attack because the attacker does not use a network connection to gain access.
A man-in-the-middle attack is a type of attack in which the attacker sits in the middle of a communication
exchange between two parties and eavesdrops on the communication. This attack can be used in various ways.
One way is to use a man-in-the-middle attack to gain access to",A
51,"During the process of encryption and decryption, what keys are shared?
A.  Private keys
B.  User passwords
C.  Public keys
D.  Public and private keys
",The private key is used to encrypt the message. The public key is used to decrypt the message. The public key is used to encrypt the message. The private key is used to decrypt the message. The private key is used to decrypt the message. The public key is used to encrypt the message. The private key is used to encrypt the message. The public key is used to decrypt the message. The private key is used to decrypt the message. The public key is used to encrypt the message. The private key is used to encrypt the message. The public key is used to decrypt the message. The private key is used to encrypt the message. The public key is used to decrypt the message. The private key is used to encrypt the message. The public key is used to encrypt the message. The private key is used to decrypt the message. The public key is used to decrypt the message. The private key is used to encrypt the message. The public key is used to encrypt the message,C
52,"Abel, a cloud architect, uses container technology to deploy applications/software including all its
dependencies, such as libraries and configuration files, binaries, and other resources that run independently
from other processes in the cloud environment. For the containerization of applications, he follows the five-tier
container technology architecture. Currently. Abel is verifying and validating image contents, signing images,
and sending them to the registries. Which of the following tiers of the container technology architecture Is
Abel currently working in?
A.  Tier-1: Developer machines
B.  Tier-4: Orchestrators
C.  Tier-3: Registries
D.  Tier-2: Testing and accreditation systems
","This is a question about cybersecurity. Please write an answer.

### A, B, D. E. E. The five-tier container architecture is used for deploying applications in the cloud. Tier-1 is the
developer machines. Tier-4 is the orchestrators. Tier-2 is the registries. Tier-3 is the testing and accreditation
systems. Tier-4 is the registries. Tier-2 is the testing and accreditation systems. The registries are used to store
images. The orchestrators are used to orchestrate the deployment of applications and services. The testing and
accreditation systems are used for testing and accreditation of the applications. This is a simplified view of the
five-tier architecture, but it’s an accurate one. It is not a technical term. The registry is the place where the
images are stored. The orchestrators are used to orchestrate the deployment of applications and services. The
testing and accreditation systems are used for testing and accreditation",D
53,"What do Trinoo, TFN2k, WinTrinoo, T-Sight, and Stracheldraht have in common?
A.  All are hacking tools developed by the legion of doom
B.  All are tools that can be used not only by hackers, but also security personnel
C.  All are DDOS tools
D.  All are tools that are only effective against Windows
E.  All are tools that are only effective against Linux
","We’re going to go through the list of tools in reverse order. TFN2k is a WinTrinoo
tool that can be used to attack Windows systems. WinTrinoo is a Windows tool that can be used to
attack Windows systems. Stracheldraht is a Linux tool that can be used to attack Linux systems. T-Sight
is a tool that can be used to attack Linux systems. T-Sight is a tool that can be used to attack Linux
systems. It’s not a DDOS tool, nor is it a Windows tool. DDOS is short for distributed denial-of-service, and
it’s a term for a group of tools that can be used to attack systems. A DDOS tool is a tool that can be used
to attack multiple systems. This is not a Linux tool. Linux is a system that can be attacked. A tool that
can be used to attack Linux systems is T-Sight. It’s not",C
54,"Larry, a security professional in an organization, has noticed some abnormalities In the user accounts on a web
server. To thwart evolving attacks, he decided to harden the security of the web server by adopting a
countermeasures to secure the accounts on the web server.
Which of the following countermeasures must Larry implement to secure the user accounts on the web server?
A.  Enable unused default user accounts created during the installation of an OS
B.  Enable all non-interactive accounts that should exist but do not require interactive login
C.  Limit the administrator or toot-level access to the minimum number of users
D.  Retain all unused modules and application extensions
","This is a question about cybersecurity. Please write an answer.

 A, B, C, D. All of the choices are incorrect. The enable-all-default-user-accounts-created-during-the-installation-of-an-os option is not a countermeasure to secure user accounts on a web server. The enable-all-non-interactive-accounts-that-should-exist-but-do-not-require-interactive-login option is not a countermeasure to secure user accounts on a web server. The limit-the-administrator-toot-level-access-to-the-minimum-number-of-users option is not a countermeasure to secure user accounts on a web server. The retain-all-unused-modules-and-application-extensions option is not a countermeasure to secure user accounts on a web server. The enable-all-privileged-user-accounts option is not a countermeasure to secure user accounts on a web server. The enable-privileged-user-accounts option is not a countermeasure to secure user accounts on a web server. The enable-privileged-user",C
55,"In order to tailor your tests during a web-application scan, you decide to determine which web-server version
is hosting the application. On using the sV flag with Nmap. you obtain the following response:
80/tcp open http-proxy Apache Server 7.1.6
what Information-gathering technique does this best describe?
A.  WhOiS lookup
B.  Banner grabbing
C.  Dictionary attack
D.  Brute forcing
","# A. In order to determine which web-server version is hosting the application, you can use the sV flag with Nmap. This
flag will display the version information on the server, as well as the operating system. This is the same technique used
by the WhoiS lookup utility. If you want to see the version number, you would use the sV flag with the
sV2 flag. The sV2 flag will display the version number and operating system. If you want to see the operating
system, you would use the OS flag. If you want to see the version number and operating system, you would use
the OS flag with the sV2 flag. The sV2 flag will display the version number and operating system. The sV
flag will display the version number. A dictionary attack is a word-guessing technique where you use a dictionary of common
words to guess the password. Brute forcing is a word-guess",B
56,"what is the port to block first in case you are suspicious that an loT device has been compromised?
A.  22
B.  443
C.  48101
D.  80
","This is a question about cybersecurity. Please write an answer.

 A, B, C, D. The 22 port is the standard for HTTP and is used for all web traffic. The 80 port is used for SMTP (mail) traffic. The 443 port is used for HTTPS (HTTPs) traffic. The 48101 port is used for file transfer protocol (FTP). The 22 port is used for SSH (secure shell). The 443 port is used for HTTPS traffic. The 80 port is used for SMTP traffic. The 48101 port is used for FTP traffic. The 22 port is used for SSH traffic. The 443 port is used for HTTPS traffic. The 80 port is used for SMTP traffic. The 48101 port is used for FTP traffic. The 22 port is used for SSH traffic. The 443 port is used for HTTPS traffic. The 80 port is used for SMTP traffic. The 48101 port is used",C
57,"A newly joined employee. Janet, has been allocated an existing system used by a previous employee. Before
issuing the system to Janet, it was assessed by Martin, the administrator. Martin found that there were
possibilities of compromise through user directories, registries, and other system parameters. He also
Identified vulnerabilities such as native configuration tables, incorrect registry or file permissions, and
software configuration errors. What is the type of vulnerability assessment performed by Martin?
A.  Credentialed assessment
B.  Database assessment
C.  Host-based assessment
D.  Distributed assessment
","Tags: 2. Host-based assessment. Martin was assessing the system as part of the initial security review and
intended to identify potential vulnerabilities and security issues. In this case, the assessment was
conducted by the administrator. The assessment involved analyzing the system’s configuration, registry,
and other system parameters to identify vulnerabilities. The system would also be tested to determine if it
was running any native configuration tables. The system would be assessed to see if it was set up correctly
with regards to user directories, registries, and other system parameters. The system would also be tested
to see if it was set up correctly with regards to software configuration errors. The system would be
tested to see if it was running any native configuration tables. The system would be tested to see if it was set up
correctly with regards to user directories, registries, and other system parameters. The system would also
be tested to see if it was set up correctly with regards to software",C
58,"You are a penetration tester working to test the user awareness of the employees of the client xyz. You
harvested two employees' emails from some public sources and are creating a client-side backdoor to send it to
the employees via email. Which stage of the cyber kill chain are you at?
A.  Reconnaissance
B.  Command and control
C.  Weaponization
D.  Exploitation
","The client-side backdoor is at the exploitation stage of the cyber kill chain. The client-side backdoor is
a client-side script that is used to communicate with a server. The server-side backdoor is used to communicate with
a server, and the server-side backdoor is used to communicate with the server. The server-side backdoor is the
last stage of the cyber kill chain and is the most important stage. The client-side backdoor is the first stage of the
kill chain. The command and control stage is the stage where the attacker uses a command and control server to
communicate with the server. The exploitation stage is the stage where the attacker uses exploits to exploit a vulnerability.
The exploitation stage is the stage where the attacker uses the exploit to gain access to the target system.
Exploitation is the stage where the attacker uses the exploit to gain access to the target system. Exploitation is
the stage where the attacker uses the exploit to gain access to",C
59,"Which file is a rich target to discover the structure of a website during web-server footprinting?
A.  Document root
B.  Robots.txt
C.  domain.txt
D.  index.html
","Question:  C.  The domain.txt file is a file used to inform robots that the site is a web server, and not a directory, and it’s a good target for web server footprinting.  The document root is the directory that contains all of the web files, and the index.html file is the default page for a website.  The robots.txt file is used to inform search engines what pages are allowed to crawl, and it’s not a good target for web server footprinting.  The file that contains the robots.txt file is called robots.txt.  If you want to know more about this file, check out the W3C website.  http://www.w3.org/MarkUp/Robots.html.  The robots.txt file is used to inform search engines what pages are allowed to crawl, and it’s not a good target for web server footprinting.  The domain.txt file is used to inform search engines what pages are allowed to crawl, and",B
60,"Morris, a professional hacker, performed a vulnerability scan on a target organization by sniffing the traffic on
the network lo identify the active systems, network services, applications, and vulnerabilities. He also obtained
the list of the users who are currently accessing the network. What is the type of vulnerability assessment that
Morris performed on the target organization?
A.  internal assessment
B.  Passive assessment
C.  External assessment
D.  Credentialed assessment
","# B. Internal assessment is the term used to describe an assessment of the internal workings of a system or
organization. In this case, Morris was sniffing the network to see what applications were running on the
systems and what services were being used. This is an internal assessment. A passive assessment is when a
sniffer is used to gather information about the network, without the user being aware of it. An external
assessment is when the user is aware of the assessment taking place and is aware of the information being
gathered. A credentialed assessment is when the user is aware of the assessment taking place and has
access to the information being gathered. In this case, Morris was a hacker, so he was not aware of the
assessment taking place. He was also not credentialed, so he did not have access to the information.
A passive assessment is when a sniffer is used to gather information about the network without the user being
aware of",B
61,"jane, an ethical hacker. Is testing a target organization's web server and website to identity security loopholes.
In this process, she copied the entire website and its content on a local drive to view the complete profile of the
site's directory structure, file structure, external links, images, web pages, and so on. This information helps
jane map the website's directories and gain valuable information. What is the attack technique employed by
Jane in the above scenario?
A.  website mirroring
B.  Session hijacking
C.  Web cache poisoning
D.  Website defacement
","This is a classic social engineering attack, and the web server and website are the target. The target is copied
to a local drive, and the entire website is examined to gain information about the directory structure, file
structure, external links, images, web pages, and so on. The information is then analyzed and used to map out the
site’s directories and gain valuable information. The site is then defaced to make the attack more complete and
the site owner more likely to be found. Web cache poisoning is not an attack technique used in this scenario.
A, B, D. Social engineering is a form of attack in which the attacker impersonates a legitimate user or organization to
obtain sensitive information from the victim. In this scenario, Jane is impersonating the target organization and
copying the entire website to a local drive, which is then analyzed and used to map out the site’s directories and
gain valuable information.",A
62,"What information security law or standard aims at protecting stakeholders and the general public from
accounting errors and fraudulent activities within organizations?
A.  PCI-DSS
B.  FISMA
C.  SOX
D.  ISO/I EC 27001:2013
","Tags: Information Security, Information Security Law, Information Security Standards, Security Standards, Security Standards Council, Security Standards Organization, SOC, SOC2, SOC3, SOC4, SOC5, SOC6, SOC7, SOC8, SOC9, SOC10, SOC11, SOC12, SOC13, SOC14, SOC15, SOC16, SOC17, SOC18, SOC19, SOC20, SOC21, SOC22, SOC23, SOC24, SOC25, SOC26, SOC27, SOC28, SOC29, SOC30, SOC31, SOC32, SOC33, SOC34, SOC35, SOC36, SOC37, SOC38, SOC39, SOC40, SOC41, SOC42, SOC43, SOC44, SOC45, SOC46, SOC47, SOC48, SOC49, SOC50, SOC51, SOC52, SOC53, SOC54, SOC55, SOC56, SOC57, SOC58, SOC59",C
63,"CyberTech Inc. recently experienced SQL injection attacks on its official website. The company appointed
Bob, a security professional, to build and incorporate defensive strategies against such attacks. Bob adopted a
practice whereby only a list of entities such as the data type, range, size, and value, which have been approved
for secured access, is accepted. What is the defensive technique employed by Bob in the above scenario?
A.  Output encoding
B.  Enforce least privileges
C.  Whitelist validation
D.  Blacklist validation
","Tags: SQL injection, whitelist, blacklist, least privileges, whitelist, blacklist, output encoding, whitelist validation,
blacklist validation, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection, SQL injection",C
64,"A security analyst uses Zenmap to perform an ICMP timestamp ping scan to acquire information related to the
current time from the target host machine.
Which of the following Zenmap options must the analyst use to perform the ICMP timestamp ping scan?
A.  -PY
B.  -PU
C.  -PP
D.  -Pn
","Question: C. The -Pn option is used to ping a target host and receive the current time. The -PY option is used to ping
a target host and send the timestamp back to the source host. The -PP option is used to ping a target host and
send the timestamp back to the source host. The -Pn option is used to ping a target host and receive the timestamp.
A, B, D, E are incorrect because these options are not valid for the Zenmap ICMP ping scan. The -PY option is used to
ping a target host and receive the timestamp back from the target host. The -PP option is used to ping a target host
and send the timestamp back to the source host. The -Pn option is used to ping a target host and send the
timestamp back to the source host. The -P option is used to ping a target host and receive the timestamp. The -PY
option is used to ping a",C
65,"Which of the following antennas is commonly used in communications for a frequency band of 10 MHz to
VHF and UHF?
A.  Yagi antenna
B.  Dipole antenna
C.  Parabolic grid antenna
D.  Omnidirectional antenna
",defuse.5. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45. 46. 47. 48. 49. 50. 51. 52. 53. 54. 55. 56. 57. 58. 59. 60. 61. 62. 63. 64. 65. 66. 67. 68. 69. 70. 71. 72. 73. 74,A
66,"Jack, a professional hacker, targets an organization and performs vulnerability scanning on the target web
server to identify any possible weaknesses, vulnerabilities, and misconfigurations. In this process, Jack uses an
automated tool that eases his work and performs vulnerability scanning to find hosts, services, and other
vulnerabilities in the target server. Which of the following tools is used by Jack to perform vulnerability
scanning?
A.  Infoga
B.  WebCopier Pro
C.  Netsparker
D.  NCollector Studio
","A.  Infoga is a tool that scans for open ports, services, and other vulnerabilities in a target system. It is an automated
tool that can be used to scan a target system for vulnerabilities. It is not a vulnerability scanner. In addition, it is not a
tool that performs vulnerability scanning. WebCopier Pro is a tool that is used to capture web pages from a target system.
Netsparker is a vulnerability scanner. NCollector Studio is a vulnerability scanner. It is not a tool that performs
vulnerability scanning. It is a tool that is used to monitor systems for security threats. It is not a vulnerability scanner.
In this question, the tool is not performing vulnerability scanning. Infoga is a tool that can be used to scan for open ports,
services, and other vulnerabilities in a target system. It is not a vulnerability scanner.
A vulnerability scanner is a tool that",C
67,"in this attack, an adversary tricks a victim into reinstalling an already-in-use key. This is achieved by
manipulating and replaying cryptographic handshake messages. When the victim reinstall the key, associated
parameters such as the incremental transmit packet number and receive packet number are reset to their initial
values. What is this attack called?
A.  Chop chop attack
B.  KRACK
C.  Evil twin
D.  Wardriving
","The KRACK attack is a man-in-the-middle attack that takes advantage of a vulnerable Wi-Fi device with an
unprotected WPA-PSK (pre-shared key) connection. The attack takes advantage of a vulnerability in the
wpa_cli utility on the Linux operating system. The exploit is replayed in the middle of a handshake between
the client and the access point to force the client to accept the handshake with the compromised device. The
client will then send a response to the attack and the response will be replayed back to the compromised device.
The client will accept the handshake and then install a new key. The original key is then used in the
next handshake and so on. The attack is replaying the handshake message to trick the client into thinking it
is communicating with a valid device.
A is incorrect because the chop chop attack does not take advantage of a vulnerability in the Wi-Fi protocol.
B is incorrect because the wardriving attack does not take advantage of",B
68,"Which among the following is the best example of the third step (delivery) in the cyber kill chain?
A.  An intruder sends a malicious attachment via email to a target.
B.  An intruder creates malware to be used as a malicious attachment to an email.
C.  An intruder's malware is triggered when a target opens a malicious email attachment.
D.  An intruder's malware is installed on a target's machine.
","This is a classic example of the third step of the cyber kill chain. The intruder sends the malicious attachment to a target. The target opens the attachment and the malware is executed. The malware then goes to work. The target is infected. The third step is the delivery phase. This is also known as the “delivery phase” in some security books. The attacker is sending the email, and the target is opening the email and opening the attachment. The malware is executed, and the intruder is in. The third step is the execution phase. This is the point where the intruder is in control of the target’s machine. The target is infected and the intruder is in. The third step is the execution phase. The attacker is in control of the target’s machine. This is also known as the “execution phase” in some security books. The attacker is in control of the target’s machine. The third step is the execution phase. This is the point where the intr",A
69,"_________ is a type of phishing that targets high-profile executives such as CEOs, CFOs, politicians, and
celebrities who have access to confidential and highly valuable information.
A.  Spear phishing
B.  Whaling
C.  Vishing
D.  Phishing
","This is a question about cybersecurity. Please write an answer.

 B. Whaling is a form of spear phishing that targets high-profile executives such as CEOs, CFOs, politicians, and celebrities who have access to confidential and highly valuable information. This is a common tactic used by cybercriminals because of the high profile of the targets. Whaling is a form of social engineering, and it is a subset of spear phishing, which targets individuals rather than organizations. A whaler will send an email that appears to be from a legitimate organization, and then ask for login credentials or other sensitive information. Whaling is a form of spear phishing, and it is a subset of spear phishing, which targets individuals rather than organizations. Whaling is a form of social engineering, and it is a subset of spear phishing, which targets individuals rather than organizations. A whaler will send an email that appears to be from a legitimate organization, and then ask for login credentials or other sensitive information. This is a",B
70,"Josh has finished scanning a network and has discovered multiple vulnerable services. He knows that several
of these usually have protections against external sources but are frequently susceptible to internal users. He
decides to draft an email, spoof the sender as the internal IT team, and attach a malicious file disguised as a
financial spreadsheet. Before Josh sends the email, he decides to investigate other methods of getting the file
onto the system. For this particular attempt, what was the last stage of the cyber kill chain that Josh
performed?
A.  Exploitation
B.  Weaponization
C.  Delivery
D.  Reconnaissance
","Question:
 C. The last stage of the kill chain is the delivery phase. This is the phase in which the attacker sends the
malicious payload to the target system. In this case, Josh is sending a malicious file to the internal IT team.
The other stages in the kill chain include reconnaissance, exploitation, and weaponization. Exploitation is the
phase in which the attacker finds a vulnerability and exploits it to gain access to the system. Weaponization is the
phase in which the attacker creates a payload and sends it to the target system. Delivery is the phase in which the
payload is sent to the target system. The kill chain is a diagrammatic representation of the stages of a cyber
attack. The stages are not necessarily in a linear order, but they are intended to be used as a guide.
A is incorrect because the exploitation phase does not exist.
D is incorrect because recon is the phase in which the attacker does research to gather information about the target.
B",B
71,"Lewis, a professional hacker, targeted the loT cameras and devices used by a target venture-capital firm. He
used an information-gathering tool to collect information about the loT devices connected to a network, open
ports and services, and the attack surface area. Using this tool, he also generated statistical reports on broad
usage patterns and trends. This tool helped Lewis continually monitor every reachable server and device on the
Internet, further allowing him to exploit these devices in the network. Which of the following tools was
employed by Lewis in the above scenario?
A.  Censys
B.  Wapiti
C.  NeuVector
D.  Lacework
","Question: D. Lacework is a cloud-based security service that collects network data and generates reports. It’s used to
monitor a target’s network and provide a view of their attack surface, allowing for continuous monitoring of the
network. The tool is used to gather information about a target’s network and vulnerabilities and is not used for
exploitation. In this case, Lewis used the tool to generate statistical reports on the network, not to exploit the
network. Censys and Wapiti are both penetration testing tools, but they are not used for information gathering.
Lacework is a cloud-based security service that collects network data and generates reports. It’s used to
monitor a target’s network and provide a view of their attack surface, allowing for continuous monitoring of the
network. The tool is used to gather information about a target’s network and vulnerabilities and is not used for
exploitation. In this case, Lewis used the tool to generate statistical reports on the network",A
72,"Rebecca, a security professional, wants to authenticate employees who use web services for safe and secure
communication. In this process, she employs a component of the Web Service Architecture, which is an
extension of SOAP, and it can maintain the integrity and confidentiality of SOAP messages.
Which of the following components of the Web Service Architecture is used by Rebecca for securing the
communication?
A.  WSDL
B.  WS Work Processes
C.  WS-Policy
D.  WS-Security
","The WS-Security component of the Web Service Architecture is used to implement security mechanisms
such as authentication and encryption. In order to implement security mechanisms, the Web Service Architecture
requires a set of security mechanisms to be deployed. The WS-Security component is the set of mechanisms
used to implement security mechanisms. It is composed of the following:
•  WSDL, which is used for describing the Web services
•  WS-Policy, which is used for describing security policies
•  WS-Security, which is used for implementing security mechanisms
•  WS-Trust, which is used for managing trust relationships
•  WS-Trust, which is used for managing trust relationships
The WS-Policy component is a policy that defines security policies. The WS-Security component is used to
implement security mechanisms such as authentication and encryption. The WS-Trust component is used to
manage trust relationships. The WS-Trust component is used to manage trust relationships. The WS-Security",D
73,"The network users are complaining because their system are slowing down. Further, every time they attempt to
go a website, they receive a series of pop-ups with advertisements. What types of malware have the system
been infected with?
A.  Virus
B.  Spyware
C.  Trojan
D.  Adware
","This is a question about cybersecurity. Please write an answer.

 B, C, D.  Trojan horse malware is a type of malware that disguises itself as something legitimate and harmless, and
then attempts to perform malicious actions on the system. In this case, the system is infected with a Trojan horse that
sends pop-ups and advertisements to the users. The malware is not a virus, spyware, or adware. A virus is a type of malware
that attempts to infect a system with malicious code. Spyware is software that collects data without the user’s knowledge.
Adware is software that displays advertisements to the user. The system has been infected with a Trojan horse, but
the malware is not a virus, spyware, or adware. A virus is a type of malware that infects a system and then attempts to
spread itself by infecting other systems. Spyware is software that collects data without the user’s knowledge.
Adware is software that displays",D
